price,city,layout,area,condition,ownership,outdoor,lat,lon,url
6100000,Kladno,3+1,69,Dobrý,Osobní,1,50.129181,14.130387,https://www.sreality.cz/detail/prodej/byt/3+1/kladno-krocehlavy-ukrajinska/3639038796
11890000,Brno,4+1,107,Velmi dobrý,Osobní,1,49.172001,16.528475,https://www.sreality.cz/detail/prodej/byt/4+1/brno-bosonohy-sevcenkova/1852007244
7850000,Praha,2+kk,34,Velmi dobrý,Osobní,0,50.073063,14.394489,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-graficka/2312979276
3990000,Plzeň,3+1,72,Dobrý,Osobní,1,49.432362,13.628936,https://www.sreality.cz/detail/prodej/byt/3+1/nekvasovy-nekvasovy-/1776108364
6690000,Semily,1+kk,56,Novostavba,Osobní,1,50.68401,15.528467,https://www.sreality.cz/detail/prodej/byt/1+kk/vitkovice-vitkovice-/826233676
3940000,Ostatní,3+1,48,Dobrý,Osobní,1,49.353477,16.024355,https://www.sreality.cz/detail/prodej/byt/3+1/velke-mezirici-velke-mezirici-na-vysluni/3369943884
9485101,Praha 6,2+kk,55,Novostavba,Osobní,1,50.077869,14.301823,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-ruzyne-na-jivinach/3914883660
12897101,Praha 6,3+kk,96,Novostavba,Osobní,1,50.077869,14.301823,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-ruzyne-na-jivinach/1754669900
4326000,Ostrava,2+1,59,Dobrý,Osobní,1,49.837894,18.261972,https://www.sreality.cz/detail/prodej/byt/2+1/ostrava-moravska-ostrava-ahepjukova/2494190412
13500000,Praha 3,3+1,91,Velmi dobrý,Osobní,1,50.089592,14.470283,https://www.sreality.cz/detail/prodej/byt/3+1/praha-zizkov-biskupcova/1954308940
8714200,Praha 4,1+kk,52,Novostavba,Osobní,0,50.065979,14.439,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nusle-belehradska/3225449292
7995000,Ostrava,2+kk,56,Velmi dobrý,Osobní,1,49.831627,18.286575,https://www.sreality.cz/detail/prodej/byt/2+kk/ostrava-moravska-ostrava-jantarova/2172801868
